what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387375199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387381126
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387384309
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387386062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387386192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387390097
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387397724
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387400428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387413406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387422042
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387423603
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387424709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387424842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387427952
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387429716
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387432269
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387436567
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387437381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387450105
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387454851
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1493387460057
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387464251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387477920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387499695
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387506658
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387508969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387509113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387513756
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387517627
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387520206
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387520325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387523711
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387528289
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387529400
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387542298
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387546425
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387760723
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387761750
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1493387765283
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493387766131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493387995847
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388011346
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388016190
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388027864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388040673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388042620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388050626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388085916
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388094361
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388099666
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388112057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388114925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388127598
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388158338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388164553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388166015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388166192
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493388168416
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1493388168644
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1493388168700
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1493388168700
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1493388168700
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1493388168700
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1493388168700
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1493388168700
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1493388168700
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1493388168700
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1493388168700
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1493388168700
stopped,bundle,org.eclipse.emf.compare.ui,1.1.1.v201009150438,"org.eclipse.emf.compare.ui",1493388168700
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1493388168701
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1493388168701
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1493388168701
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1493388168701
stopped,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1493388168701
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1493388168701
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1493388168701
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1493388168701
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1493388168701
stopped,bundle,org.eclipse.emf.cdo.ui.ide,3.0.0.v20100618-1451,"org.eclipse.emf.cdo.ui.ide",1493388168701
stopped,bundle,org.eclipse.emf.ecoretools,0.10.0.v20100615-1639,"org.eclipse.emf.ecoretools",1493388168706
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram",1493388168706
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1493388168707
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1493388168707
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1493388168707
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1493388168710
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1493388168711
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1493388168711
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1493388168711
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1493388168714
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1493388168714
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1493388168714
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1493388168714
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1493388168714
stopped,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1493388168715
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1493388168716
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1493388168716
stopped,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1493388168720
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.providers.ide,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.providers.ide",1493388168720
